Player,Pos,3P,TRB,BLK
Hassan Whiteside,C,0.0,14.1,2.1
Anthony Davis,C,0.5,11.8,2.2
Evan Fournier,SG,1.9,3.1,0.1
Zach LaVine,SG,2.6,3.4,0.2
Avery Bradley,SG,2.0,6.1,0.2
DeAndre Jordan,C,0.0,13.8,1.7
Timofey Mozgov,C,0.0,4.9,0.6
Austin Rivers,SG,1.5,2.2,0.1
A.J. Hammons,C,0.2,1.6,0.6
Patrick Beverley,SG,1.6,5.9,0.4
Josh Richardson,SG,1.4,3.2,0.7
Dwyane Wade,SG,0.8,4.5,0.7
Tony Snell,SG,1.8,3.1,0.2
Roy Hibbert,C,0.0,3.2,1.0
Bismack Biyombo,C,0.0,7.0,1.1
Justin Holiday,SG,1.2,2.7,0.4
Kosta Koufos,C,0.0,5.7,0.7
Allen Crabbe,SG,1.7,2.9,0.3
Marcin Gortat,C,0.0,10.4,0.7
Dewayne Dedmon,C,0.0,6.5,0.8
Jamal Murray,SG,1.4,2.6,0.3
Iman Shumpert,SG,1.2,2.9,0.4
Rodney Hood,SG,1.9,3.4,0.2
DeMarcus Cousins,C,1.8,11.0,1.3
Nikola Vucevic,C,0.3,10.4,1.0
Marcus Smart,SG,1.2,3.9,0.4
Garrett Temple,SG,1.3,2.8,0.4
Frank Kaminsky,C,1.5,4.5,0.5
E'Twaun Moore,SG,1.1,2.1,0.4
Buddy Hield,SG,1.8,3.3,0.1
Dwight Howard,C,0.0,12.7,1.2
Sean Kilpatrick,SG,1.5,4.0,0.1
Tristan Thompson,C,0.0,9.2,1.1
Alex Len,C,0.0,6.6,1.3
Devin Booker,SG,1.9,3.2,0.3
Nikola Jokic,C,0.6,9.8,0.8
Denzel Valentine,SG,1.3,2.6,0.1
Rudy Gobert,C,0.0,12.8,2.6
Jamal Crawford,SG,1.4,1.6,0.2
Jason Smith,C,0.5,3.5,0.7
Joel Embiid,C,1.2,7.8,2.5
Will Barton,SG,1.5,4.3,0.5
Channing Frye,C,1.9,3.9,0.5
Alex Abrines,SG,1.4,1.3,0.1
Wesley Matthews,SG,2.4,3.5,0.2
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Al Horford,C,1.3,6.8,1.3
Jordan Clarkson,SG,1.4,3.0,0.1
Jodie Meeks,SG,1.6,2.1,0.1
Georgios Papagiannis,C,0.0,3.9,0.8
Manu Ginobili,SG,1.3,2.3,0.2
JaVale McGee,C,0.0,3.2,0.9
Chris Andersen,C,0.0,2.6,0.6
Nik Stauskas,SG,1.7,2.8,0.4
Mason Plumlee,C,0.0,7.5,1.1
Clint Capela,C,0.0,8.1,1.2
Steven Adams,C,0.0,7.7,1.0
Justin Hamilton,C,0.9,4.1,0.7
Montrezl Harrell,C,0.0,3.8,0.7
Kyle Korver,SG,2.4,2.8,0.3
Marco Belinelli,SG,1.4,2.4,0.1
Nicolas Batum,SG,1.8,6.2,0.4
Robin Lopez,C,0.0,6.4,1.4
Ben McLemore,SG,1.1,2.1,0.1
Courtney Lee,SG,1.4,3.4,0.3
Ian Mahinmi,C,0.0,4.8,0.8
Dion Waiters,SG,1.8,3.3,0.4
J.J. Redick,SG,2.6,2.2,0.2
Nene Hilario,C,0.0,4.2,0.6
Pau Gasol,C,0.9,7.8,1.1
Tim Hardaway,SG,1.9,2.8,0.2
Willie Cauley-Stein,C,0.0,4.5,0.6
Jordan Crawford,SG,1.9,1.8,0.1
John Henson,C,0.0,5.1,1.3
C.J. McCollum,SG,2.3,3.6,0.5
Wayne Ellington,SG,2.4,2.1,0.1
Gary Harris,SG,1.9,3.1,0.1
Alexis Ajinca,C,0.0,4.5,0.6
Marc Gasol,C,1.4,6.3,1.3
Brook Lopez,C,1.8,5.4,1.7
