room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1125760,6175346,Shared room,,Anam-dong 2(i)-ga,11,5,4,1,11,2,37.586486,127.021223,30:17.3
4788331,23471642,Entire home/apt,,Chungmuro 2(i)-ga,34,5,5,0,52,,37.56278,126.99011,30:11.7
4608162,9116568,Shared room,,Donggyo-dong,4,4,3,1,23,1,37.560063,126.926597,29:02.1
8391140,29616045,Entire home/apt,,Seocho-dong,6,5,3,1,60,1,37.500974,127.025114,28:55.9
10737145,55505937,Private room,,Sincheon-dong,0,,4,1,30,1,37.523698,127.11409,27:56.0
9082435,21301264,Shared room,,Itaewon-dong,0,,1,1,87,1,37.535737,126.994242,27:42.5
11874155,23651917,Entire home/apt,,Yeoksam-dong,8,5,4,1,75,2,37.498208,127.028212,27:36.6
11498701,28197740,Entire home/apt,,Bangi-dong,5,4,6,2,33,1,37.511786,127.124207,27:28.6
6561548,31627642,Shared room,,Itaewon-dong,0,,1,1,19,1,37.535516,126.992587,27:25.0
12416002,7633775,Entire home/apt,,Yeoksam-dong,2,,3,1,103,2,37.509158,127.042869,26:37.3
3171349,13905994,Entire home/apt,,Itaewon-dong,24,4.5,6,2,82,3,37.536145,126.990472,26:34.8
824331,3303906,Shared room,,Changjeon-dong,16,5,14,1,24,1,37.552167,126.927474,26:01.4
11307729,59108736,Private room,,Gye-dong,0,,1,1,84,1,37.580225,126.986174,25:53.1
10325479,51561694,Shared room,,Seogyo-dong,0,,1,1,26,1,37.55564,126.912889,25:49.7
5876306,28621131,Entire home/apt,,Donggyo-dong,41,5,3,1,67,2,37.556812,126.923097,25:35.1
3563790,17944886,Entire home/apt,,Bongcheon-dong,1,,5,3,30,13,37.486542,126.949349,25:28.0
742672,3888422,Private room,,Bangbae-dong,5,4.5,3,1,36,1,37.476284,126.995503,25:23.8
10668318,55106406,Private room,,Seokgwan-dong,5,5,1,1,17,2,37.606165,127.062683,25:21.0
6080479,1572120,Entire home/apt,,Dongja-dong,7,4.5,7,0,72,2,37.554798,126.969314,24:57.9
11594687,7228997,Private room,,Bongcheon-dong,0,,2,1,35,7,37.47923,126.953393,24:44.6
2498291,12787251,Private room,,Seobinggo-dong,0,,1,1,145,1,37.517442,126.989144,24:40.5
8159472,40552680,Entire home/apt,,Sungin-dong,7,5,2,1,48,2,37.57172,127.017306,24:37.7
4731249,21575022,Private room,,Samseong-dong,45,5,2,1,38,1,37.51214,127.044035,24:34.3
3844134,3465480,Entire home/apt,,Sillim-dong,0,,2,1,15,5,37.464064,126.937572,24:04.3
1370601,6175346,Private room,,Anam-dong 2(i)-ga,1,,1,1,12,2,37.587253,127.021254,24:00.6
7338691,38448261,Private room,,Samseong-dong,0,,2,1,69,1,37.508041,127.051319,23:56.1
12896181,47184445,Entire home/apt,,Cheongdam-dong,0,,1,1,402,3,37.523457,127.047884,23:53.4
4992397,24721330,Entire home/apt,,Dohwa-dong,40,5,3,1,55,,37.540228,126.9461,23:24.4
12815930,24792589,Entire home/apt,,Hyeonseok-dong,1,,2,1,50,2,37.542351,126.935436,23:11.8
7492883,6180833,Entire home/apt,,Seogyo-dong,23,4.5,2,1,39,2,37.554008,126.91735,23:02.3
7605461,29494436,Shared room,,Hannam-dong,0,,8,1,20,1,37.535215,126.998298,22:54.6
952482,5170197,Private room,,Gye-dong,1,,2,1,43,1,37.583054,126.987523,21:27.4
9831879,24721330,Entire home/apt,,Bongnae-dong 1(il)-ga,12,5,12,3,153,,37.559871,126.973245,21:15.9
3886906,19562176,Private room,,Gahoe-dong,3,5,3,1,108,1,37.583038,126.984604,21:01.1
8621516,24501468,Entire home/apt,,Itaewon-dong,9,4.5,2,1,56,2,37.53341,126.995792,20:52.6
4662509,24125761,Shared room,,Seogyo-dong,0,,2,1,26,1,37.555914,126.927461,20:23.9
2069024,250770,Entire home/apt,,Donggyo-dong,0,,4,1,95,2,37.558826,126.926215,20:04.7
10290135,47950790,Shared room,,Changsin-dong,5,4.5,1,1,13,1,37.571177,127.013483,19:57.4
3990656,19883108,Entire home/apt,,Gaepo-dong,12,5,6,5,205,5,37.484377,127.053277,19:54.2
4929061,3465480,Entire home/apt,,Sillim-dong,0,,4,1,46,1,37.465163,126.935922,19:37.6
8122624,41974491,Private room,,Hap-dong,0,,4,1,87,1,37.562126,126.965772,19:22.6
5365956,13010006,Entire home/apt,,Daehyeon-dong,11,4.5,3,1,59,1,37.557364,126.943454,19:18.4
9987505,51312855,Entire home/apt,,Gwanhun-dong,0,,2,0,46,2,37.573789,126.98618,18:50.2
10972063,56458681,Shared room,,Changcheon-dong,2,,14,1,15,1,37.558741,126.931353,18:38.1
10128471,21710610,Entire home/apt,,Euljiro 2(i)-ga,19,5,3,1,39,1,37.566111,126.9857,18:35.2
9592949,49520508,Private room,,Sinsa-dong,14,4.5,2,1,38,3,37.520456,127.024608,18:32.7
8081828,40602971,Private room,,Jungnim-dong,0,,1,1,32,2,37.559676,126.967887,18:26.9
789922,3018326,Shared room,,Yeonhui-dong,67,4.5,6,1,12,1,37.564624,126.927687,18:18.5
3671211,18622394,Private room,,Yongsan-dong 1(il)-ga,5,4,2,1,35,1,37.545322,126.974294,18:05.9
2990081,15239984,Private room,,Banpo-dong,13,5,2,1,41,1,37.503814,126.999983,18:04.3
10581141,23233575,Entire home/apt,,Bulgwang-dong,8,5,8,3,82,1,37.620465,126.934148,17:57.1
6978496,33031953,Shared room,,Hwigyeong-dong,5,5,2,1,24,2,37.592229,127.058575,17:38.0
6836177,11245663,Entire home/apt,,Daejo-dong,9,5,2,1,41,2,37.615413,126.91889,17:26.9
7585941,24191561,Entire home/apt,,Chungmuro 2(i)-ga,55,4.5,6,0,52,1,37.561856,126.987758,17:24.9
